,text,set_name,level,script_calc_level,script_calc_level_int,level_difference
331,"Arthur is twenty-three years old. He is soon to be married. His fiancee, the woman he is going to marry, is called Stella. Arthur works as a solicitor in London. He helps people with their legal business.",the woman in black,1,Upper-Intermediate,3,2
332,"My name is Arthur Kipps. When I was a young man, I worked in London. I was a solicitor. Fourteen years ago, I bought this house. I live here with my dear wife, Esme. Esme's first husband had died. She was a widow when I married her.",the woman in black,1,Advanced,4,3
335,"Darkness fell. I was on my way north - to Eel Marsh House. I changed trains at Crewe. Then I changed trains again at a small town called Homerby, in Yorkshire. The little train I got into at Homerby was old and dirty.",the woman in black,1,Upper-Intermediate,3,2
336,Keckwick knew that something strange had happened to me. But he was not going to ask me about it. And he did not want to hear about it. I got into the trap and we drove off. I sat in the trap in a dream.,the woman in black,1,Upper-Intermediate,3,2
337,I now knew the truth. But I did not want to believe it. The woman in black was a ghost. And the child was a ghost too. I had seen the woman. I had heard the child. They had died long ago. But they did not rest in peace.,the woman in black,1,Upper-Intermediate,3,2
342,The streets of Crythin Gifford were completely flat. The countryside all round the town was flat too. There were no hills at all. To the east of the town were the marshes - and on the marshes was Eel Marsh House.,the woman in black,1,Upper-Intermediate,3,2
347,There was a damp smell in the house. Some of the rooms had not been used for many years. The whole house was dark and shadowy. Mrs Drablow had lived here alone. I was not surprised that people said she was strange!,the woman in black,1,Advanced,4,3
350,"In 1872, the Reform Club in London's Pall Mall was a club for men only. Phileas Fogg went to the Reform Club every day. He left his house at 7 Savile Row at 11.30 in the morning and walked to the club. He had his lunch and his dinner there. He read the papers at the club, and he played cards. He left late in the evening and walked back to Savile Row. He went to bed at midnight.
Phileas Fogg was a cold man. He didn't talk much, and nobody knew much about him. But everything in his life had to be right. His washing water had to be at 31°C — not 30°C and not 32°C. At 9.37 on the morning of 2nd October 1872 his servant, James Forster, brought him water at 30°C, not 31°C. So this servant had to go. Phileas Fogg sat at home in his Savile Row house. He waited for his new servant.",around the world in eighty days,1,Upper-Intermediate,3,2
356,"Phileas Fogg, Passepartout and Aouda went to the office of the ship company.
'Are we too late for the Carnatic,' Phileas Fogg asked. 'The timetable says the ship left Hong Kong for Yokohama yesterday.'
'No,' said the man at the office.' The Carnatic had a problem with one engine. The ship will leave tomorrow.'
'Thank you,' said Phileas Fogg.
After the visit to the ship company, Phileas Fogg took Aouda to the best hotel in Hong Kong. Then he went out and looked for her uncle. An hour later, he came back. Aouda's uncle did not live in Hong Kong now. He was in Holland.
Aouda did not speak for a minute. She sat with her head in her hands. Then, very quietly, she asked, 'What do I do now, Mr. Fogg?'
'That's easy,' said Phileas Fogg.' Come to Europe.'",around the world in eighty days,1,Upper-Intermediate,3,2
358,"Phileas Fogg took Aouda to the best shops in Hong Kong. Then they went back to the hotel. Night came and there was no Passepartout. In the morning, too, Passepartout was not there.
Phileas Fogg and Aouda went to the port. Perhaps Passepartout was at the ship. But the servant was not there and the Carnatic was also not there.
An Englishman spoke to Phileas Fogg. 'Did you have tickets for the Carnatic?' The man was Detective Fix.
'I wanted to go to Yokohama on the Carnatic too,' the detective said. 'She left yesterday evening. We'll have to wait a week for the next ship.'
Fix smiled. But the detective's smile left him when Phileas Fogg said, 'But there are other ships in the port of Hong Kong. The Carnatic is not the only ship. Let's go and find one.'",around the world in eighty days,1,Upper-Intermediate,3,2
359,"Phileas Fogg was in a police station in Liverpool. He looked at his watch. Two o'clock. He had to be at the Reform Club before 8.45.
At 2.33, there was a lot of noise in the police station. The door opened, and Fix ran in.
'Mr. Fogg!' he cried. 'I'm sorry. I'm very sorry. A mistake ... My mistake. We have the Bank of England thief in prison. I was on the ship, so I didn't know.'
Then Phileas Fogg moved quickly for the first and last time in his life.
Passepartout and Aouda came in and they all went quickly to Liverpool railway station. The London train wasn't there. They were too late.
Phileas Fogg paid for a train. They were the only people on it. But when the train arrived in London, the clock showed 8.50. Phileas Fogg was five minutes late.",around the world in eighty days,1,Upper-Intermediate,3,2
360,"Aouda and Passepartout were unhappier about the bet than Phileas Fogg. This fine man had twenty thousand pounds with him at the start of the journey. And now he had one thousand pounds.
He also had twenty thousand pounds in Baring's Bank, but he had to pay it to his five friends in the Reform Club. He thought about money and made plans.
In the evening, he came down and spoke to Aouda. He looked at her and smiled.
'Aouda,' he said, 'I'm sorry. I brought you to England and now I have these money problems. Are you unhappy now?'
'Unhappy!' said Aouda. She couldn't tell him.
'I was rich before the bet,' said Phileas Fogg. 'I brought you here to a good life, away from your dangerous life in India. But now I don't have much money. But, Aouda, can I give this money to you ? Please.'",around the world in eighty days,1,Upper-Intermediate,3,2
366,"On the ship to Hong Kong, the Rangoon, Aouda learned a little about Phileas Fogg. She liked him. Fix was on the ship too. He thought about the warrant. Was it now on its way from Bombay to Hong Kong?
On the first day, Passepartout did not know that Fix was on the ship too. But then he saw the detective.
'What is Mr. Fix doing on this ship?' the Frenchman thought.
'We saw him in Suez and now here he is again. Is he following us? Why?' Passepartout thought about it, and then he had an idea.' He is following Mr. Fogg. He is working for the five men at the Reform Club. He is watching Mr. Fogg because of the bet.'
Passepartout was angry with the five men, but he didn't tell Phileas Fogg about Fix.",around the world in eighty days,1,Upper-Intermediate,3,2
370,"In 1872, the Reform Club in London's Pall Mall was a club for men only. Phileas Fogg went to the Reform Club every day. He left his house at 7 Savile Row at 11.30 in the morning and walked to the club.",around the world in eighty days,1,Upper-Intermediate,3,2
371,"So the detective wrote to London and asked for a warrant in Bombay. Phileas Fogg was tall and wore expensive clothes. He left London quickly. He had a lot of money in new banknotes. Phileas Fogg was, Fix thought, the Bank of England thief.",around the world in eighty days,1,Upper-Intermediate,3,2
