,text,set_name,level,script_calc_level,script_calc_level_int,level_difference
38,"Tom was learning five verses. Some verses are long and some are short. Tom had found five short verses. Aunt Polly's daughter, Mary, helped him, and after a time, he could say the verses without looking at the book.",the adventures of tom sawyer part 1,1,Intermediate,2,1
40,"The next morning Tom was very sad. This was the beginning of another week of slow suffering in school. He usually began this day wishing that there had been no Saturday and no Sunday. Because of them, school seemed more painful to him.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
41,"Then he looked at his foot. His foot had been hurt. He had an idea. He began to cry as if with pain. But Sid, in his bed across the room, continued to sleep. Tom's voice grew louder. Now he seemed to feel real pain in his foot.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
42,"Tom went to school and on his way, he met Huckleberry Finn. Huckleberry's father was always drunk. None of the mothers in the village liked Huckleberry. But all the children liked him. They wished that they dared to be like him.",the adventures of tom sawyer part 1,1,Intermediate,2,1
43,"Tom also wished that he could be like Huckleberry. He had been ordered never to play with him. Therefore, he played with Huckleberry every time that it was possible. Huckleberry was always dressed in old clothes. The clothes were always too big for him.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
50,"Joe, Tom and Finn met again. Harper had brought meat, and Finn had some tobacco. Tom said that they must also have fire. They went to a large riverboat that was near, and they took some of the fire burning there. They knew that there were no men on the boat. The boatmen were all in the village. But the boys moved very quietly and carefully. Pirates must be pirates.
With Tom as captain of their ship, they left the shore and went into the middle of the river. From here they let the moving river carry them along. They passed the distant village. Two or three lights showed where it was, peacefully sleeping. Tom stood in the boat looking for the last time at the scene of his early joys and later sufferings. He wished that his aunt could see him now, facing the fearful future with a smile on his lips.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
52,"Tom called to the other pirates. Within a few moments they were all playing in the river near the shore. Their boat had been carried away, but this pleased them. They were certain now that they would never return to their village.
Happy and hungry, they built their fire. Huck had found some good water to drink. While Joe cooked some meat, Tom and Huck went to the river and caught some fish. Joe cooked these with the meat. No fish had ever tasted so good.
Then Huck smoked. After that, they all started to walk through the trees to see what they could discover.
They found much to delight them, but nothing surprising. The island was almost three miles long and a quarter of a mile wide. It was very near to the shore on one side, but far from the shore where their village was.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
58,"But there was no joy in the little town that same afternoon. The village was more quiet than usual. The people had little to say to each other. The children had no pleasure in their games.
Becky Thatcher was walking near the school. She thought, ""Oh, I wish I had not returned to Tom that bright, shining ball he gave me! I have nothing to help me remember him. He is gone now, and I shall never, ever see him again."" Then a large group of boys and girls, friends of Tom and Joe, came to the school and stood looking over the fence into the yard where they had played together. They spoke of things Tom and Joe had said, and of things Tom and Joe had done. They tried to learn who was the last to see the two boys. The children who were the last to talk with Tom and Joe felt very important indeed.",the adventures of tom sawyer part 2,1,Intermediate,2,1
59,"The little church was filled with people. After a long time Aunt Polly entered, followed by Sid and Mary and by the Harper family. All were wearing black clothes. The other people in the church stood up. They remained standing while the two families walked to the front of the church and sat down.
It was quiet again. All prayed, and then a song followed. Now the church leader began to talk of the boys. He told how good they had been. People were sorry to remember that they had not seen the truth earlier when they had thought that these boys were bad. Tears were falling from all eyes.
The sound of the church door, opening slowly, was heard. People rose and watched while the three dead boys walked to the front of the church. Tom was first, Joe next, and last came Huck.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
60,"Aunt Polly, Mary, and the Harpers put their arms around Tom and Joe. Huck stood alone, not knowing what to do. He started to move away, but Tom stopped him and said: ""Aunt Polly, this is not right. Some person must be glad to see Huck."" ""And some person shall be. I am glad to see him, dear boy!"" She put her arms around him also. And now Huck felt more strange than before.
""Sing! And sing your best!"" cried the church leader.
And all the people did sing. There had never been such singing in that church. Tom Sawyer, the Pirate, knew that no moment in his life could be prouder than this.
That was Tom's great plan to return home with the other pirates and go to the church to hear people pray for their souls.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
61,"Boys had returned across the river in the darkness the night before, and had stayed in the forest until nearly daylight. They had entered the church and finished their sleep there before the people came. Then they appeared at the most important moment.
The next morning Aunt Polly and Mary were very loving toward Tom. He had everything that he wanted to eat. There was much more talk than usual. Aunt Polly spoke: ""We can laugh now, Tom. But you were not very kind to let me suffer. You came across the river to surprise us in the church. Why could you not come across the river to tell me that you were not really dead? Tom, some day you will be sorry. You will wish that you had cared more for me. But then it will be too late.""",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
62,"Tom walked slowly and proudly, feeling that all eyes were watch­ing him. Smaller boys followed him, proud to be seen with him. Boys of his own size tried not to show that they knew he had been away. But they did know. They wished that they had sun-browned skin like his. They wished that they were as famous.
Tom decided that he no longer was interested in Becky Thatcher. Being famous was enough pleasure for him. When Becky arrived at school, Tom seemed not to see her. But he saw her playing with other boys and girls. He saw that she often came near him and looked at him.
And he began talking to Amy Lawrence. Becky tried to go away from him, but her feet would not do as she wished. They carried her near to the group around Tom.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
65,"The teacher had a book that he was studying. Every day he would read some pages when he was not busy. Every boy and girl in the school wondered about this book, but none had ever seen its pages. Now, as Becky passed the teacher's table, she saw the book. She opened it and began to look at it.
Then Tom appeared at the door. Becky hurried to close the book. Her hand caught the page, and suddenly, it was in two pieces. Becky began to weep.
""You are bad, Tom Sawyer, to come and watch me! And now you will tell the teacher, and he will beat me, and what shall I do! I have never been beaten in school. But I know what is going to happen to you. You wait and you will see!"" Then, weeping, she ran outside.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
66,"The boys and girls were all busy with their books. The teacher opened his book. Tom looked at Becky. He had seen small and hunted animals in the forest. Now Becky seemed like one of them. He wished that he could help her. Becky destroyed that page. But what could he do?
The next moment the teacher stood before the school. Every eye turned away from his. All the boys and girls were afraid of him. He asked everyone about his book, but every girl and boy denied anything.
Then the teacher asked: ""Rebecca Thatcher, look at me! Did you do this to my book?"" Tom jumped to his feet and shouted, ""I did it!"" All looked at him. They could not believe what they had heard.
Tom stepped forward to take his beating. The surprise, the love shining from Becky's eyes seemed pay enough for a hundred beatings.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
67,"Summer had come for several months there would be no school. Tom discovered that the days were too long. He did not have enough to do.
He decided to make a record of everything that happened. But nothing happened during three days. He decided that a record would be of no value.
Becky Thatcher had gone away. During the summer she was living in another town with her father and her mother.
The thought of the fearful killing in the graveyard was always in Tom's mind. It was like a pain. It would not go away.
Then Tom became sick.
For two long weeks Tom remained in bed without knowing what was happening in the village. He was very ill. He was interested in nothing. Then he seemed to be better. But after a day he was ill again. He was in bed for three more weeks.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
68,"Tom was famous once again. The old people loved him and the young people wished that they were like him. His name appeared in the village newspaper. There were people who believed that he might some day become President of the United States if he escaped hanging.
Tom's days were days of joy, but his nights were filled with fear. Indian Joe was in all his dreams. Poor Huck felt the same. His name had not been called in the meetinghouse. Because Indian Joe had run away, Huck's story was not needed. But Huck was afraid that his part in the story might be told. Huck no longer trusted any human being, because Tom had broken their agreement. Sometimes Tom was afraid that Indian Joe would never be caught. Indian Joe had not been found. The slow days passed. With each day Tom became a little less afraid.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
69,"Judge Thatcher had a good opinion of Tom. He said that only a very wise boy could have brought Becky out of the cave safely. He expected Tom to become a great man.
Huck Finn's life had changed. His sufferings were almost too great for him. Mrs. Douglas had taken him to her home. She kept him clean. He must sleep every night in a clean bed. He must eat like a gentleman. He must go to church. He suffered for three weeks, and then the next day he was gone. Early on the third morning Tom Sawyer went to an old building outside the village. He found Huck. Huck had been sleeping behind the building. He was covered with dust. His hair was wild. He was wearing his old clothes. But Tom persuaded Huck to come back to Mrs. Douglas and to be a gentlemen.",the adventures of tom sawyer part 2,1,Advanced,4,3
70,"Tom said that he was going to travel around the world, never to return to the village. He hoped that Joe would not forget him. And Joe had come to say the same to Tom. They were two souls with only one thought.",the adventures of tom sawyer part 2,1,Intermediate,2,1
71,"Joe had been beaten by his mother. But he had done nothing. She plainly wished him to go away. Therefore, he was going. He hoped that she would be happy now. He hoped that she would never be sorry about sending her boy into the cold world to suffer and die.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
73,"Joe, Tom and Finn met again. Harper had brought meat, and Finn had some tobacco. Tom said that they must also have fire. They went to a large riverboat that was near, and they took some of the fire burning there. They knew that there were no men on the boat.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
74,"Huck said, ""What do pirates do?"" Tom said, ""Oh, they enjoy life. They follow other ships and catch them and burn them. They take the money from those ships and put it in a deep hole in the ground on their island.""",the adventures of tom sawyer part 2,1,Intermediate,2,1
76,"Tom called to the other pirates. Within a few moments they were all playing in the river near the shore. Their boat had been carried away, but this pleased them. They were certain now that they would never return to their village.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
77,"Happy and hungry, they built their fire. Huck had found some good water to drink. While Joe cooked some meat, Tom and Huck went to the river and caught some fish. Joe cooked these with the meat. No fish had ever tasted so good.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
78,"Then Huck smoked. After that, they all started to walk through the trees to see what they could discover. They found much to delight them, but nothing surprising. The island was almost three miles long and a quarter of a mile wide.",the adventures of tom sawyer part 2,1,Intermediate,2,1
82,"Tom had jumped over the fence behind his aunt's house. He looked through a window into a lighted room. There sat Aunt Polly, Sid, Mary, and Joe Harper's mother. They were talking. They were beside the bed, and the bed was between them and the door.",the adventures of tom sawyer part 2,1,Intermediate,2,1
83,"Huck started to walk sadly away. Tom felt a strong desire to follow. He hoped that they would stop, but they went slowly forward. Suddenly, Tom knew that it had become very lonely and quiet. He ran after the other boys, shouting, ""Wait! Wait! I want to tell you something.""",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
88,"Becky Thatcher was walking near the school. She thought, ""Oh, I wish I had not returned to Tom that bright, shining ball he gave me! I have nothing to help me remember him. He is gone now, and I shall never, ever see him again.""",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
89,"A large group of boys and girls, friends of Tom and Joe, came to the school and stood looking over the fence into the yard where they had played together. They spoke of things Tom and Joe had said, and of things Tom and Joe had done. They tried to learn who was the last to see the two boys.",the adventures of tom sawyer part 2,1,Intermediate,2,1
130,"April was a beautiful month in the land of the Algonquin Indians. There were tall trees and colorful flowers everywhere. The sky and the sea were deep blue. Pocahontas was the favorite daughter of Chief Powhatan. She was an Indian princess. Chief Powhatan was a powerful chief of the Algonquin tribe. Pocahontas was eleven years old. She was a lovely young girl with black hair and dark eyes. She wore a dress and moccasins. She had a feather in her hair. Pocahontas was always happy. She ran in the forest and danced in the fields. She sat on the hill and looked at the blue sea. On May 6, 1607, Pocahontas sat on the hill and she saw something strange in the bay. It was a big sailing ship! She was very surprised. The sailing ship was something new. She was very excited.",pocahontas,1,Intermediate,2,1
143,"John Smith stayed with Pocahontas for some days. She learnt some English, and he learnt more of her language. Soon they were good friends.
But Powhatan's men watched Smith carefully, and he could not leave the village. Then one day Powhatan said: 'You can go home to Jamestown, John Smith. But you must give me two of your big guns.' John Smith did not like this, but he could not say no. So he went back to Jamestown, and Pocahontas, Opekankanu, and some Indians went with him.
In Jamestown Wingfield was not happy. 'We can't give our big guns to the Indians!' he said. 'Then they can kill us, with our guns!' 'It's all right,' said Smith.
'This gun can kill ten men, Opekankanu. Remember that. So, take your two guns.'",pocahontas,1,Intermediate,2,1
147,"In the winter of 1608 the English in Jamestown were hungry again. So John Smith went to Werowocomoco and asked Powhatan for corn. He took many beautiful glass beads with him, because the Indians loved these things. But Powhatan wanted more than beads.
'You can have corn,' he said, 'but you must build one of your big English houses for me with windows of glass. And you must give me some guns.' 'A house - yes,' said Smith. 'Tomorrow my men can bring things from Jamestown and begin to build a house for you. But guns - no. Friends do not need guns.' Powhatan smiled, but he was angry, very angry. 'Yes, we are friends,' he said. 'Tonight you must stay here and eat with us. Tomorrow you can have your corn.'",pocahontas,1,Intermediate,2,1
148,"That night Pocahontas came to John Smith. She was afraid. 'My father is angry,' she said. 'You must be careful!' John Smith took her hands. 'What a good friend you are, Pocahontas!' he said. 'How can I thank you?' Pocahontas looked into his blue eyes.
'You are my King,' she said quietly. 'My King now, and always.' So Smith and his men carried their guns all the time and they watched very carefully. The next morning Opekankanu and his women came with the corn.
'There is your corn,' Opekankanu said. 'Now, give us your guns!' He smiled. 'Look behind you!' Smith looked. And seven hundred Indians came out of the forest, with bows and arrows.
How can ten men fight seven hundred? In a second, John Smith had his hand in Opekankanu's hair, and his gun in Opekankanu's face.",pocahontas,1,Intermediate,2,1
151,"In 1613, Pocahontas was nineteen. She lived now with her father's friend, Iapassus, and his wife. Iapassus was friendly with the English, and so it was easy for Samuel Argall. He came to Iapassus' village in his ship.
'I have many beautiful things from England in my ship,' he told Iapassus. 'They are all for you – but first, you must give me something. You must bring Pocahontas onto my ship, and leave her here.' So Iapassus took Pocahontas onto the ship, and Argall locked her in a room. Pocahontas was very angry.
'I'm sorry,' Argall said to her, 'but you must come with Mercedes to Jamestown. Your father must stop fighting us, and he must give us back our guns. Then you can go home.' So Pocahontas went to Jamestown, and stayed there. At first, Powhatan was angry. He wanted his daughter back.",pocahontas,1,Intermediate,2,1
152,"In 1613 Pocahontas was nineteen. She lived now with her father's friend, Iapassus, and his wife. Iapassus was friendly with the English, and so it was easy for Samuel Argali. He came to Iapassus' village in his ship.
'I have many beautiful things from England in my ship,' he told Iapassus. 'They are all for you but first, you must give me something. You must bring Pocahontas onto my ship, and leave her here.' So Iapassus took Pocahontas onto the ship, and Argali locked her in a room. Pocahontas was very angry.
'I'm sorry,' Argali said to her, 'but you must come with me to Jamestown. Your father must stop fighting us, and he must give us back our guns. Then you can go home.' So Pocahontas went to Jamestown, and stayed there. At first, Powhatan was angry. He wanted his daughter back.",pocahontas,1,Intermediate,2,1
158,"Pocahontas is famous for two things. She was the first American woman to marry an Englishman and come to England. And she was a good friend to the English when they first went to Virginia.
Her husband, John Rolfe, went back to Virginia and married an Englishwoman there. He died in Virginia in 1622. Pocahontas' son, Thomas, lived with the Rolfe family in England when he was a child, but in 1635 he went to live in Virginia. John Smith did not leave England again. He wrote many interesting books about America, and he wrote about Pocahontas in those books. He lived until 1631, but he never had a wife. Perhaps he could not forget the sad, dark eyes of Pocahontas, when she said goodbye to him for the last time.",pocahontas,1,Intermediate,2,1
159,"Today Virginia is an American state. It became a state in 1788, after the American Revolution. About 5 million people live in Virginia. The capital of Virginia is Richmond. Other important cities are Roanoke, Norfolk, Newport and Alexandria.
George Washington was born in Virginia. He fought for the independence of the United States. In 1789 George Washington became the first president of the United States.
Today you can visit the Jamestown Settlement. You can see people in 17th-century costumes and how they lived Colonial Williamsburg is the biggest 18th-century town in the world. In Virginia today there is the Pocahontas State Park. The beautiful park was named after Pocahontas. There is also a museum dedicated to the Indian princess.",pocahontas,1,Advanced,4,3
160,Pocahontas was the favorite daughter of Chief Powhatan. She was an Indian princess. Chief Powhatan was a powerful chief of the Algonquin tribe. Pocahontas was eleven years old. She was a lovely young girl with black hair and dark eyes.,pocahontas,1,Upper-Intermediate,3,2
164,"Smith and Newport went a hundred kilometers up the river. They visited Indian villages and talked to a lot of Indians. When Smith and Newport came back to Jamestown, Wingfield was very pleased to see them.",pocahontas,1,Advanced,4,3
170,"Pocahontas was interested in everything. She loved to talk to John Smith, and she learnt many things about England and the English. In 1608, two more ships came to Jamestown. Powhatan asked Pocahontas about them.",pocahontas,1,Advanced,4,3
171,"The Indians were afraid of John Smith. To them, he was a King, and it is not easy to kill a King. Opekankanu, too, was afraid. His women put the corn in Smith's boat, and Smith and his men went back to Jamestown.",pocahontas,1,Advanced,4,3
177,"John Smith wrote many books about America and Pocahontas. He lived until 1631, but he never had a wife. Perhaps he could not forget the sad, dark eyes of Pocahontas, when she said goodbye to him for the last time.",pocahontas,1,Upper-Intermediate,3,2
178,"Today Virginia is an American state. It became a state in 1788. About 5 million people live in Virginia. The capital of Virginia is Richmond. Other important cities are Norfolk, Newport and Alexandria.",pocahontas,1,Upper-Intermediate,3,2
179,Today you can visit the Jamestown Settlement. In Virginia today there is the Pocahontas State Park. The beautiful park was named after Pocahontas. There is also a museum dedicated to the Indian princess.,pocahontas,1,Advanced,4,3
191,"The contest began. One man was the best.
'That man is Robin Hood,' thought the Sheriff. 'People say he is clever. But we will catch him easily. That big man with him is Little John and the fat man is Friar Tuck. We will take them too. But who is the boy? He is very good with a bow and arrow too.' The contest finished and Robin Hood was the winner.
'The arrow is mine,' he said. The sheriff smiled coldly and gave him the gold arrow. Then Robin turned away.
'Take him now!' shouted the sheriff to his men.
But twenty of Robin's men took off their hoods and moved behind Robin. A great swordfight began. Robin's men and the sheriff's fought for a long time. Marian fought too this time, and she fought well. The sheriff was very angry.",robin hood,1,Intermediate,2,1
195,"At 10 o'clock the next morning, Robin Fitzooth and Lady Marian stood in front of the abbot in St Mary's Abbey. Lady Marian was some years younger than Robin, and very lovely. The abbot began to speak.
'Robin of Locksley,' he began 'do you ...' 'Stop!' somebody called from the back of the church. Robin turned. It was the Sheriff of Nottingham. Behind the sheriff were twenty men with bows and arrows.
'My Lord Abbot,' called the sheriff loudly. 'This man has to come with me. He is the robber, Robin Hood!' Then he turned to his men.
'Why are you waiting?' he asked. 'Take him!' 'Yes, I am Robin Hood,' answered Robin, 'but you will not take me. Look carefully round the church, Sheriff. Do you not see my men?' The sheriff looked and saw thirty or more tall, strong men.",robin hood,1,Upper-Intermediate,3,2
196,"The next day, the sheriff arrived at Lord Fitzwalter's house with twenty horsemen. Lord Fitzwalter watched them through a window.
'He wants to talk about yesterday's fight,' he said to his daughter, 'Please go to your room. I will speak to him.' Marian left the room, and a minute later, the sheriff walked in.
'My Lord Sheriff,' began Lord Fitzwalter, 'I am sorry about the fight yesterday.' 'No, no, I do not want to talk about that,' said the sheriff. 'I want to speak to you about your daughter, Marian.' 'Ah, Marian,' said Lord Fitzwalter unhappily. 'Marian is a good girl but she does not always listen to me.' 'Well,' said the sheriff and smiled. 'Well, I am looking for a wife, and I would like to marry your daughter.'",robin hood,1,Intermediate,2,1
208,"The sheriff's men took out their swords and moved through the dancers. Suddenly ten of the dancers ran for their swords too. They were Robin's men, and a great fight began. Marian started to fight too.",robin hood,1,Intermediate,2,1
209,"Twenty of Robin's men took off their hoods and moved behind Robin. A great fight began. Robin's men and the sheriff's fought for a long time. Marian fought too this time, and she fought well. The sheriff was very angry.",robin hood,1,Intermediate,2,1
210,"At 10 o'clock the next morning, Robin Fitzooth and Lady Marian stood in front of the abbot in St Mary's Abbey. Lady Marian was some years younger than Robin, and very lovely. The abbot began to speak.",robin hood,1,Advanced,4,3
215,"'I have a plan,' said the sheriff. 'I will have a contest with bows and arrows. The winner will get a gold arrow. I know that Robin Hood will come. He will win the contest and take the gold arrow. Then I will take him.'",robin hood,1,Advanced,4,3
216,"'My Lord Sheriff,' began Lord Fitzwalter, 'I am sorry about the fight yesterday.' 'No, no, I do not want to talk about that,' said the sheriff. 'I want to speak to you about your daughter, Marian. I am looking for a wife, and I would like to marry your daughter.'",robin hood,1,Intermediate,2,1
217,"Early in the morning the sheriff and Prince John met.
'I have a plan,' said the sheriff. 'I will have a contest with bows and arrows. The winner will get a gold arrow. I know that Robin Hood will come. He will win the contest and take the gold arrow. Then I will take him.'",robin hood,1,Upper-Intermediate,3,2
220,"The Law of the Jungle, which never orders anything without a reason, forbids every beast to eat Man except when he is killing to show his children how to kill, and then he must hunt outside the hunting grounds of his pack or tribe. The real reason for this is that man-killing means, sooner or later, the arrival of white men on elephants, with guns, and hundreds of brown men with gongs and rockets and torches. Then everybody in the jungle suffers or will be killed by Men. The reason the beasts give among themselves is that Man is the weakest and most defenseless of all living things, and it is unsportsmanlike to touch him. They say too — and it is true — that man-eaters become mangy, and lose their teeth.",heroes in fairy tales,1,Intermediate,2,1
221,"Mowgli started living with other men and learning their customs. First he had to wear a cloth round him, which annoyed him horribly; and then he had to learn about money, which he did not in the least understand. Then the little children in the village made him very angry. Luckily, the Law of the Jungle had taught him to keep his temper, for in the jungle life and food depend on keeping your temper; but when they made fun of him because he would not play games or fly kites, only the knowledge that it was unsportsmanlike to kill little naked cubs kept him from picking them up and breaking them in two. In the jungle he knew he was weak compared with the beasts, but in the village people said that he was as strong as a bull.",heroes in fairy tales,1,Advanced,4,3
223,"The tiger, Shere Khan was in the entrance. His big square head and shoulders filled all the space.
""Thank you for coming to see us, Shere Khan ,"" said Father Wolf. He was polite, but his eyes were very angry. ""What do you want?""
""I want what I am hunting. The man's cub came here,"" said Shere Khan. ""The man cub's parents have run away. Give me the baby.""
Shere Khan had jumped into a woodcutter's campfire, just as Father Wolf had guessed, the tiger had burned his feet and he was very angry.
But Father Wolf knew that his home was too small for a tiger to get in. Even the entrance was too small for the tiger, who would not be able to fight properly there.
""The Wolves are free,"" said Father Wolf. ""They take orders from their chief, and not from an animal with stripes. The man's cub is ours.""",heroes in fairy tales,1,Advanced,4,3
